sex,age,plan,first_signup_date,last_active_date,churn,country
male,71,standard,2025-05-07,2025-11-25,0,USA
female,34,standard,2024-01-20,2024-12-04,1,USA
female,26,standard,2025-04-16,2025-09-01,1,USA
female,50,standard,2025-05-30,2025-11-24,0,USA
male,70,basic,2024-10-05,2024-11-05,1,USA
male,37,basic,2024-12-11,2025-11-20,0,USA
male,30,basic,2023-03-21,2024-10-02,1,USA
female,45,basic,2024-03-28,2024-10-01,1,USA
female,65,premium,2023-06-02,2025-06-05,1,USA
female,46,standard,2024-10-23,2025-02-11,1,USA
male,30,basic,2024-04-04,2024-10-03,1,USA
female,63,basic,2025-04-27,2025-11-17,0,USA
female,52,premium,2023-04-26,2025-11-18,0,USA
male,23,basic,2023-12-08,2025-02-10,1,USA
male,35,standard,2023-11-05,2024-12-31,1,USA
male,68,basic,2025-08-19,2025-11-17,0,USA
male,22,standard,2023-03-06,2023-05-23,1,USA
female,64,basic,2024-07-18,2024-10-30,1,USA
male,42,premium,2025-02-05,2025-11-14,1,USA
male,19,premium,2024-10-27,2025-11-20,1,USA
female,27,standard,2025-11-22,2025-11-23,0,USA
male,73,standard,2024-03-19,2025-01-08,1,USA
male,47,premium,2023-12-17,2024-10-06,1,USA
male,67,standard,2024-02-05,2025-04-16,1,USA
male,62,basic,2023-08-06,2025-04-30,1,USA
female,22,standard,2024-09-23,2025-06-10,1,USA
male,72,standard,2023-03-06,2025-11-20,0,USA
male,73,basic,2023-09-08,2025-08-20,1,USA
female,50,standard,2025-07-17,2025-11-14,0,USA
male,71,premium,2024-02-16,2025-11-11,0,USA
female,18,premium,2024-08-18,2025-11-18,0,USA
male,35,basic,2024-04-05,2025-04-24,1,USA
male,49,basic,2024-06-09,2025-03-01,1,USA
female,64,premium,2024-10-31,2025-11-24,0,USA
female,66,standard,2024-05-19,2025-04-22,1,USA
female,28,basic,2024-10-27,2025-10-31,1,USA
male,38,premium,2024-06-19,2025-11-14,0,USA
male,43,premium,2025-06-29,2025-11-26,0,USA
female,42,basic,2025-10-18,2025-11-28,0,USA
male,39,standard,2022-12-15,2024-09-03,1,USA
male,44,basic,2023-01-19,2023-05-12,1,USA
male,66,basic,2025-09-24,2025-11-27,0,USA
male,30,basic,2025-07-10,2025-11-27,0,USA
female,50,standard,2024-04-11,2025-01-27,1,USA
male,51,basic,2025-04-21,2025-05-20,1,USA
female,58,basic,2025-11-04,2025-11-14,0,USA
male,52,basic,2024-04-01,2024-09-22,1,USA
female,18,basic,2022-12-14,2025-08-02,1,USA
female,38,premium,2025-09-11,2025-11-20,0,USA
male,65,basic,2023-03-17,2025-07-17,1,USA
female,72,basic,2025-06-06,2025-11-28,0,USA
female,23,standard,2023-03-24,2024-05-03,1,USA
female,45,basic,2025-01-14,2025-09-03,1,USA
female,34,basic,2025-04-22,2025-11-25,0,USA
female,22,basic,2023-07-14,2023-11-03,1,USA
female,48,basic,2025-08-10,2025-11-23,0,USA
male,22,basic,2025-11-14,2025-11-15,0,USA
male,55,basic,2025-02-18,2025-10-10,1,USA
male,20,basic,2023-06-02,2025-11-15,0,USA
male,70,premium,2023-07-25,2025-11-09,0,USA
male,40,basic,2023-04-06,2024-07-14,1,USA
male,54,standard,2024-12-04,2025-04-21,1,USA
female,70,standard,2024-07-25,2025-08-30,1,USA
male,54,basic,2025-06-09,2025-11-12,0,USA
male,27,standard,2024-03-15,2024-10-21,1,USA
female,27,basic,2023-12-19,2024-03-05,1,USA
male,36,premium,2024-08-28,2025-11-26,0,USA
female,34,basic,2023-01-23,2023-05-06,1,USA
male,38,basic,2025-07-06,2025-11-14,0,USA
female,31,basic,2023-09-27,2025-11-11,0,USA
female,26,premium,2023-05-11,2025-11-10,0,USA
male,63,basic,2024-05-05,2024-12-03,1,USA
male,18,standard,2025-11-26,2025-11-27,0,USA
female,68,basic,2022-12-22,2022-12-23,1,USA
female,62,standard,2025-02-27,2025-03-23,1,USA
female,30,basic,2023-11-17,2025-01-11,1,USA
female,21,premium,2023-02-08,2024-03-14,1,USA
male,18,basic,2024-01-22,2024-10-24,1,USA
male,66,basic,2023-03-31,2024-04-24,1,USA
male,57,basic,2024-08-06,2025-01-11,1,USA
female,49,basic,2023-08-25,2024-01-26,1,USA
female,51,standard,2025-10-01,2025-11-15,0,USA
male,45,basic,2022-12-21,2024-06-18,1,USA
male,48,standard,2024-03-25,2025-08-28,1,USA
male,25,basic,2025-08-09,2025-11-21,0,USA
male,56,basic,2024-06-09,2025-03-29,1,USA
female,43,basic,2023-09-25,2024-02-14,1,USA
female,51,basic,2025-07-01,2025-09-05,1,USA
female,71,standard,2024-07-19,2025-11-10,0,USA
male,71,basic,2023-02-27,2023-09-07,1,USA
male,20,basic,2024-03-25,2024-08-05,1,USA
female,67,premium,2024-07-24,2025-11-26,0,USA
female,29,premium,2025-02-05,2025-11-19,0,USA
female,18,basic,2023-12-15,2025-02-19,1,USA
