age,gender,salary,status,spending
42,Female,40098,Single,857.91
37,Female,90516,Single,795.58
64,Male,27458,Single,615.72
28,Male,106935,Married,1014.83
55,Female,20338,Single,524.96
48,Female,57209,Married,813.22
23,Female,89576,Single,729.71
33,Male,105347,Single,1048.64
44,Male,36630,Married,664.33
65,Female,44005,Single,906.95
25,Female,23007,Married,577.56
47,Female,110617,Married,1333.35
39,Male,64826,Married,749.37
63,Male,44728,Single,647.01
30,Female,82700,Married,895.46
58,Male,62939,Married,854.02
34,Male,51559,Married,503.89
26,Female,88463,Single,745.43
46,Male,52461,Single,755.25
19,Female,119023,Married,1091.7
44,Male,98847,Single,690.53
18,Male,65740,Single,582.17
25,Male,47855,Single,653.09
50,Female,51565,Single,735.62
62,Female,85993,Single,962.06
52,Female,55025,Single,739.01
58,Female,61275,Single,939.37
70,Female,86987,Married,954.34
60,Female,42258,Single,592.53
49,Female,64255,Single,808.58
20,Male,108189,Married,886.74
21,Male,31910,Single,439.19
33,Male,63917,Married,653.88
51,Male,70255,Married,862.11
49,Male,81141,Single,875.26
35,Female,51138,Single,337.96
55,Female,42256,Married,730.91
48,Male,26044,Single,564.66
57,Female,66738,Single,737.22
26,Female,65989,Single,801.09
62,Male,22874,Married,569.2
69,Female,37614,Married,774.22
39,Male,113399,Single,1168.91
21,Female,65225,Married,711.83
50,Female,40526,Married,634.45
55,Male,19095,Married,575.76
64,Male,29365,Married,709.35
57,Female,47835,Married,848.99
26,Female,19843,Married,781.43
55,Male,81496,Married,838.98
39,Female,71913,Single,698.42
66,Male,83752,Single,854.07
69,Male,66530,Married,796.4
58,Female,24983,Married,603.15
68,Male,87992,Married,820.08
31,Male,86354,Married,791.46
35,Male,19318,Married,540.73
24,Female,95345,Married,785.1
18,Male,23419,Single,507.21
68,Male,47013,Married,740.23
63,Male,76192,Married,1085.45
60,Male,45047,Single,595.0
30,Male,70831,Single,914.49
59,Male,19584,Married,286.95
30,Male,98425,Married,745.17
21,Male,114342,Married,1080.98
33,Male,63787,Single,766.54
56,Female,63108,Single,987.72
57,Male,78105,Single,804.38
30,Male,31405,Single,764.78
37,Male,77071,Single,679.73
31,Male,97747,Single,1070.14
67,Female,87778,Married,1038.0
33,Male,70352,Married,568.36
29,Male,22452,Married,539.63
63,Female,96104,Married,1079.64
21,Male,52042,Married,455.49
